brand,product,url,imgSrc,name,categories,specific,hex,lightness,in_india,R,G,B
L'Oréal,Infallible Fresh Wear 24HR Foundation,https://www.ulta.com/infallible-fresh-wear-24hr-foundation?productId=pimprod2002481,https://images.ulta.com/is/image/Ulta/2538149sw?$50px$,toffee,food,,#C6895B,0.566666666666667,True,198,137,91
L'Oréal,Infallible Fresh Wear 24HR Foundation,https://www.ulta.com/infallible-fresh-wear-24hr-foundation?productId=pimprod2002481,https://images.ulta.com/is/image/Ulta/2558078sw?$50px$,warm almond,"descriptor, food",,#CE9560,0.592156862745098,True,206,149,96
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-glow-light-reflecting-makeup-broad-spectrum-spf-15?productId=xlsImpprod16641043,https://images.ulta.com/is/image/Ulta/2515233sw?$50px$,golden,descriptor,WN 114,#AF7342,0.472549019607843,True,175,115,66
Estée Lauder,Double Wear Stay-in-Place Makeup,https://www.ulta.com/double-wear-stay-in-place-makeup?productId=xlsImpprod14641507,https://images.ulta.com/is/image/Ulta/2531245sw?$50px$,outdoor beige,"misc, color",4C1,#D5A287,0.682352941176471,True,213,162,135
Estée Lauder,Double Wear Stay In Place Matte Powder Foundation,https://www.ulta.com/double-wear-stay-in-place-matte-powder-foundation?productId=pimprod2003118,https://images.ulta.com/is/image/Ulta/2541017sw?$50px$,deep amber,"descriptor, gem, color",7N1,#B47349,0.496078431372549,True,180,115,73
L'Oréal,Infallible Pro-Glow Foundation,https://www.ulta.com/infallible-pro-glow-foundation?productId=xlsImpprod14321021,https://images.ulta.com/is/image/Ulta/2305288sw?$50px$,buff beige,color,,#DAA385,0.688235294117647,True,218,163,133
Wet N Wild,Photo Focus Dewy Foundation,https://www.ulta.com/photo-focus-dewy-foundation?productId=pimprod2013416,https://images.ulta.com/is/image/Ulta/2558124sw?$50px$,golden beige,"descriptor, color",,#D4B174,0.643137254901961,True,212,177,116
Maybelline,Fit Me Matte + Poreless Liquid Foundation,https://www.ulta.com/fit-me-matte-poreless-liquid-foundation?productId=xlsImpprod11861007,https://images.ulta.com/is/image/Ulta/2510205sw?$50px$,deep golden,descriptor,368,#925730,0.380392156862745,True,146,87,48
Clinique,Even Better Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-makeup-broad-spectrum-spf-15?productId=xlsImpprod10791919,https://images.ulta.com/is/image/Ulta/2206517sw?$50px$,ginger,food,WN 112,#BF7B43,0.505882352941176,True,191,123,67
Clinique,Beyond Perfecting Foundation + Concealer,https://www.ulta.com/beyond-perfecting-foundation-concealer?productId=xlsImpprod12021005,https://images.ulta.com/is/image/Ulta/2282764sw?$50px$,vanilla,food,CN 70,#D6A682,0.674509803921569,True,214,166,130
